Name,Material,Density_LB,Density_UB,Price_LB,Price_UB,YS_LB,YS_UB,YM_LB,YM_UB
cfrp,composite,1500,1600,28.4,31.5,550,1050,69,150
gfrp,composite,1750,1970,18.4,26.1,110,192,15,28
beech_fs,wood,650,790,1.53,2.03,48.7,59.5,11.7,14.3
beech_fg,wood,680,830,1.53,2.03,52,63.6,14.2,17.3
PC,plastic,1190,1210,1.68,2.05,59.1,65.2,2.32,2.44
ABS,plastic,1010,1050,2.22,2.25,18.5,40.7,1.1,2.41
PP,plastic,899,909,1.81,1.89,23.6,26.9,1.23,1.26
titanium_al,metal,4400,4800,15.9,16.3,750,1200,110,120
mag_al,metal,1750,1870,1.9,2.12,70,215,42,47
alum_al,metal,2500,2900,1.51,1.63,50,330,72,89
nylon,plastic,1120,1140,2.36,2.53,50,94.8,2.62,3.2
PU,plastic,1120,1240,3.38,3.71,40,53.8,1.31,2.07
PVC,plastic ,1300,1580,1.37,1.41,35.4,52.1,2.14,4.14
PE,plastic,939,960,1.31,1.35,17.9,29,0.621,0.896
PET,plastic,1290,1400,0.797,1.03,56.5,62.3,2.76,4.14
